center,left,right,steering,throttle,reverse,speed
IMG/center_00000.jpg,IMG/left_00000.jpg,IMG/right_00000.jpg,0.01828302478526589,0.5,0,20.0
IMG/center_00001.jpg,IMG/left_00001.jpg,IMG/right_00001.jpg,-0.020420524361469683,0.5,0,20.0
IMG/center_00002.jpg,IMG/left_00002.jpg,IMG/right_00002.jpg,0.12868769491238563,0.5,0,20.0
IMG/center_00003.jpg,IMG/left_00003.jpg,IMG/right_00003.jpg,0.1811858586766415,0.5,0,20.0
IMG/center_00004.jpg,IMG/left_00004.jpg,IMG/right_00004.jpg,0.04790031194533051,0.5,0,20.0
IMG/center_00005.jpg,IMG/left_00005.jpg,IMG/right_00005.jpg,0.12587725942114747,0.5,0,20.0
IMG/center_00006.jpg,IMG/left_00006.jpg,IMG/right_00006.jpg,0.2492835087770766,0.5,0,20.0
IMG/center_00007.jpg,IMG/left_00007.jpg,IMG/right_00007.jpg,0.2585374932725977,0.5,0,20.0
IMG/center_00008.jpg,IMG/left_00008.jpg,IMG/right_00008.jpg,0.3104433614800315,0.5,0,20.0
IMG/center_00009.jpg,IMG/left_00009.jpg,IMG/right_00009.jpg,0.292008940802994,0.5,0,20.0
IMG/center_00010.jpg,IMG/left_00010.jpg,IMG/right_00010.jpg,0.4252722387660781,0.5,0,20.0
IMG/center_00011.jpg,IMG/left_00011.jpg,IMG/right_00011.jpg,0.44586228535068484,0.5,0,20.0
IMG/center_00012.jpg,IMG/left_00012.jpg,IMG/right_00012.jpg,0.4270242057429485,0.5,0,20.0
IMG/center_00013.jpg,IMG/left_00013.jpg,IMG/right_00013.jpg,0.5115770816192695,0.5,0,20.0
IMG/center_00014.jpg,IMG/left_00014.jpg,IMG/right_00014.jpg,0.4897386250519793,0.5,0,20.0
IMG/center_00015.jpg,IMG/left_00015.jpg,IMG/right_00015.jpg,0.4246158769570667,0.5,0,20.0
IMG/center_00016.jpg,IMG/left_00016.jpg,IMG/right_00016.jpg,0.5094214521278853,0.5,0,20.0
IMG/center_00017.jpg,IMG/left_00017.jpg,IMG/right_00017.jpg,0.4374455073745336,0.5,0,20.0
IMG/center_00018.jpg,IMG/left_00018.jpg,IMG/right_00018.jpg,0.5518723728937749,0.5,0,20.0
IMG/center_00019.jpg,IMG/left_00019.jpg,IMG/right_00019.jpg,0.4968319599077904,0.5,0,20.0
IMG/center_00020.jpg,IMG/left_00020.jpg,IMG/right_00020.jpg,0.4858685251905239,0.5,0,20.0
IMG/center_00021.jpg,IMG/left_00021.jpg,IMG/right_00021.jpg,0.4497280858133792,0.5,0,20.0
IMG/center_00022.jpg,IMG/left_00022.jpg,IMG/right_00022.jpg,0.554095794728785,0.5,0,20.0
IMG/center_00023.jpg,IMG/left_00023.jpg,IMG/right_00023.jpg,0.4582363524185793,0.5,0,20.0
IMG/center_00024.jpg,IMG/left_00024.jpg,IMG/right_00024.jpg,0.4252720669653205,0.5,0,20.0
IMG/center_00025.jpg,IMG/left_00025.jpg,IMG/right_00025.jpg,0.4101229137943665,0.5,0,20.0
IMG/center_00026.jpg,IMG/left_00026.jpg,IMG/right_00026.jpg,0.4404234976384218,0.5,0,20.0
IMG/center_00027.jpg,IMG/left_00027.jpg,IMG/right_00027.jpg,0.40476119549282497,0.5,0,20.0
IMG/center_00028.jpg,IMG/left_00028.jpg,IMG/right_00028.jpg,0.3792448227617762,0.5,0,20.0
IMG/center_00029.jpg,IMG/left_00029.jpg,IMG/right_00029.jpg,0.3494733624687749,0.5,0,20.0
IMG/center_00030.jpg,IMG/left_00030.jpg,IMG/right_00030.jpg,0.4189810036904591,0.5,0,20.0
IMG/center_00031.jpg,IMG/left_00031.jpg,IMG/right_00031.jpg,0.2309041247784418,0.5,0,20.0
IMG/center_00032.jpg,IMG/left_00032.jpg,IMG/right_00032.jpg,0.1875586803653062,0.5,0,20.0
IMG/center_00033.jpg,IMG/left_00033.jpg,IMG/right_00033.jpg,0.13092967547137246,0.5,0,20.0
IMG/center_00034.jpg,IMG/left_00034.jpg,IMG/right_00034.jpg,0.176908297145838,0.5,0,20.0
IMG/center_00035.jpg,IMG/left_00035.jpg,IMG/right_00035.jpg,0.16689314327039217,0.5,0,20.0
IMG/center_00036.jpg,IMG/left_00036.jpg,IMG/right_00036.jpg,0.050823075236704485,0.5,0,20.0
